method,update,episode_start,episode_end,reward,cost,dual,entropy_threshold,low_entropy_rate,quality_reward,improvement_reward,relative_loss_improvement,relative_quality_improvement,radar_loss,beam_objective,beampattern_loss,cross_corr,sidelobe_ratio,sidelobe_leakage,target_mean,target_min,target_min_ratio,target_band_error_mean,feasible_rate,accepted_rate,mean_step_scale,rollout_time_sec,reset_time_sec,policy_time_sec,env_step_time_sec,transition_time_sec,segment_time_sec,ppo_update_time_sec,update_time_sec,transitions_per_sec
vanilla,1,1,64,0.020884331378429835,0.009372680469181492,0.00046863402345907463,0.2077877019246419,0.0,0.0026105414223037294,0.0026105414223037294,0.0031325743386587685,0.0026105414223037294,0.6807677056163124,0.6807677056163124,0.5141321412712416,0.16663556434507068,0.866637916215139,0.9598452301165614,2.148501940361014,1.9530049873544586,0.9102816559145781,0.019185007816389932,0.984375,0.126953125,0.0593109130859375,4.567032154998742,2.7228968559065834,0.028898409917019308,1.7973272528033704,0.017116132890805602,0.007294228998944163,1.1722618200583383,5.748647282016464,112.1078158908082
vanilla,2,65,128,0.025966803718661967,0.013675950097061483,0.0011524315283121488,0.2300444137573242,0.0,0.003245850464832746,0.003245850464832746,0.0039057206268670675,0.003245850464832746,0.6947977037885333,0.6947977037885333,0.5251050720437651,0.1696926317447682,0.8585518777115746,0.9541946401499339,2.1534008020906246,1.9976246670548572,0.9290417002903496,0.017653118823429147,0.9375,0.154296875,0.0841064453125,4.402195903006941,2.656484590959735,0.02330450399313122,1.7100144438445568,0.011699783150106668,0.0070227900287136436,1.0443753040162846,5.458617510041222,116.30559186388682
vanilla,3,129,192,0.021958681010920845,0.020692115157448482,0.0021870372861845727,0.2478617868041992,0.0,0.0027448351263651056,0.0027448351263651056,0.003084481985108211,0.0027448351263651056,0.6648686635423219,0.6648686635423219,0.5071580025555789,0.15771066098674297,0.8457554955492802,0.938760331926837,2.1779680661929572,1.9991920519660549,0.920881993415224,0.01893082768265352,0.9375,0.134765625,0.068572998046875,4.310064785997383,2.550800233031623,0.02733390883076936,1.7172157831955701,0.014046484022401273,0.005033692927099764,1.050500186975114,5.374606824014336,118.79171785616654
vanilla,4,193,256,0.025374501975953645,0.02514743459286598,0.003444409015827872,0.2621215725911458,0.0,0.0031718127469942056,0.0031718127469942056,0.003984232212578898,0.0031718127469942056,0.696056738751534,0.696056738751534,0.5166515297152968,0.17940520903623702,0.8455951538491873,0.9401013880465874,2.193645997459231,1.967702992322541,0.8999147193442409,0.0217906417764874,0.9375,0.146484375,0.079620361328125,4.29904415702913,2.5693482640199363,0.024658400798216462,1.6920787789858878,0.012216866831295192,0.007024719030596316,1.047827288042754,5.359263624064624,119.09624123373031
vanilla,5,257,320,0.020468924822615628,0.00011432535264130971,0.0034501252834599374,0.2735355683146159,0.0,0.0025586156028269535,0.0025586156028269535,0.0035831495726799086,0.0025586156028269535,0.6487169308648024,0.6487169308648024,0.49704799705531627,0.1516689338094861,0.8246383056731648,0.9152885806564279,2.1806247951924065,2.011795076466488,0.9241085816344033,0.01611748329875441,0.984375,0.130859375,0.06891632080078125,4.275939958984964,2.526616759947501,0.020526833250187337,1.7181753751356155,0.010043615940958261,0.0069763269275426865,1.0625085519859567,5.350749128032476,119.73975427885573
vanilla,6,321,384,0.02141099941682994,0.00023330344062685727,0.0034617904554912803,0.2826721626900228,0.0,0.0026763749271037423,0.0026763749271037423,0.003518825123718987,0.0026763749271037423,0.6668041587173641,0.6668041587173641,0.5103299595631994,0.15647419915416463,0.8296614543270554,0.9248421656803472,2.22480117007276,2.0300510547824127,0.9137801175578297,0.01823147691047916,0.953125,0.15234375,0.0692291259765625,4.32710258604493,2.541065305005759,0.02222247503232211,1.7511015099007636,0.012038771994411945,0.006703220074996352,1.2663756840629503,5.6093469460029155,118.32398003486662
vanilla,7,385,448,0.024315559588230777,0.01469272771235452,0.004196426841109007,0.28999141362369796,0.0,0.003039444948528847,0.003039444948528847,0.003956008169245378,0.003039444948528847,0.6607736194186651,0.6607736194186651,0.49459451380296804,0.16617910561569713,0.870030846721513,0.9623485281340185,2.1546384935159795,1.9297355473051852,0.898816229072409,0.019886684222994947,0.953125,0.13671875,0.0735321044921875,4.296868831035681,2.5712128300219774,0.020693291095085442,1.6933847391046584,0.01099194900598377,0.006327535957098007,1.0421078930376098,5.350725756958127,119.1565347077611
vanilla,8,449,512,0.02733315107141236,0.00021292989130601732,0.004207073335674307,0.2958640949492513,0.0,0.003416643883926545,0.003416643883926545,0.004430659529763789,0.003416643883926545,0.6559121751024493,0.6559121751024493,0.4999491022478228,0.15596307285462638,0.8448959356549732,0.9376063680064574,2.1793217342475595,1.9984226329416561,0.9171685736588382,0.01755898965645454,0.984375,0.154296875,0.0841064453125,4.239588150056079,2.50715440697968,0.023496199981309474,1.6977017138851807,0.010630027274601161,0.00604375300463289,1.0497432190459222,5.301019644015469,120.76644756006017
vanilla,9,513,576,0.020045334989856955,9.497440409588387e-06,0.004207548207694787,0.3005785732718197,0.0,0.00250566687373212,0.00250566687373212,0.003373069643338744,0.00250566687373212,0.680909949783064,0.680909949783064,0.5011454705541261,0.17976447922893798,0.84066056924527,0.933618962198581,2.1948882714300226,2.0070990387808987,0.91521132236615,0.01756182228688616,0.984375,0.125,0.06634521484375,4.267114927992225,2.539452225086279,0.024342835880815983,1.6880163279129192,0.014559586066752672,0.007340337033383548,1.0541060720570385,5.336345962015912,119.98739397462344
vanilla,10,577,640,0.021642735003797816,0.0004464498247777983,0.004229870698933677,0.3043654910128822,0.0,0.0027053418754747266,0.0027053418754747266,0.00355959183132467,0.0027053418754747266,0.6729133312639155,0.6729133312639155,0.5170197110540059,0.15589362020990957,0.8487836162204839,0.9433993817637045,2.1360506697164414,1.948077137361316,0.9124439498979257,0.018968329735378306,0.953125,0.142578125,0.07447052001953125,4.308509885915555,2.579087842023,0.019775020075030625,1.6989741740981117,0.01008516806177795,0.005927641992457211,1.0504273839760572,5.370118811028078,118.8345886529631
